"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2013",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
Tracy               ,"85,138","84,822",316,"25,996","21,158",877,"1,592","1,902",467,"24,687",5.0%,3.44
,,,,,,,,,,, ,
Balance Of County    ,"143,323","137,989","5,334","48,546","40,088","1,328",950,982,"5,198","44,693",7.9%,3.09
Incorporated,"563,095","555,756","7,339","187,360","130,909","10,951","13,930","28,201","3,369","174,896",6.7%,3.18
 ,,,,,,,,,,, ,
County Total,"706,418","693,745","12,673","235,906","170,997","12,279","14,880","29,183","8,567","219,589",6.9%,3.16
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Luis Obispo County,,,,,,,,,,, ,
Arroyo Grande       ,"17,616","17,442",174,"7,672","5,226",639,362,850,595,"7,211",6.0%,2.42
Atascadero          ,"29,230","27,798","1,432","11,590","8,290",439,"1,062","1,270",529,"11,018",4.9%,2.52
El Paso De Robles   ,"30,755","30,486",269,"11,632","8,217",812,935,"1,374",294,"11,106",4.5%,2.75
Grover Beach        ,"13,446","13,257",189,"5,757","3,393",736,871,549,208,"5,206",9.6%,2.55
Morro Bay           ,"10,405","10,244",161,"6,356","4,558",359,446,507,486,"4,908",22.8%,2.09
Pismo Beach         ,"7,926","7,913",13,"5,615","3,238",618,502,497,760,"3,955",29.6%,2.00
San Luis Obispo     ,"45,558","44,376","1,182","20,697","9,588","1,381","2,650","5,596","1,482","19,311",6.7%,2.30
,,,,,,,,,,, ,
Balance Of County    ,"119,208","106,220","12,988","49,119","37,812","1,484","2,244","1,248","6,331","40,957",16.6%,2.59
Incorporated,"154,936","151,516","3,420","69,319","42,510","4,984","6,828","10,643","4,354","62,715",9.5%,2.42
 ,,,,,,,,,,, ,
County Total,"274,144","257,736","16,408","118,438","80,322","6,468","9,072","11,891","10,685","103,672",12.5%,2.49
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Mateo County,,,,,,,,,,, ,
Atherton            ,"6,987","6,602",385,"2,477","2,461",16,0,0,0,"2,282",7.9%,2.89
Belmont             ,"26,739","26,225",514,"11,037","6,410",650,333,"3,644",0,"10,612",3.9%,2.47
Brisbane            ,"4,424","4,408",16,"1,943","1,111",235,205,326,66,"1,824",6.1%,2.42
Burlingame          ,"29,807","29,358",449,"13,074","6,296",569,883,"5,313",13,"12,399",5.2%,2.37
Colma               ,"1,485","1,478",7,446,205,113,88,30,10,433,2.9%,3.41
Daly City           ,"106,026","105,345",681,"32,720","15,816","4,764","3,754","7,839",547,"31,599",3.4%,3.33
East Palo Alto      ,"29,630","29,476",154,"7,822","4,214",328,267,"2,865",148,"7,078",9.5%,4.16
Foster City         ,"31,540","31,431",109,"12,458","4,662","2,636",907,"4,253",0,"12,014",3.6%,2.62
Half Moon Bay       ,"11,581","11,563",18,"4,415","2,770",551,268,294,532,"4,112",6.9%,2.81
Hillsborough        ,"11,110","11,110",0,"3,945","3,846",87,12,0,0,"3,672",6.9%,3.03
Menlo Park          ,"33,001","32,163",838,"13,124","7,257","1,051","1,722","3,066",28,"12,339",6.0%,2.61
Millbrae            ,"22,419","22,104",315,"8,562","5,376",292,285,"2,576",33,"8,070",5.7%,2.74
Pacifica            ,"38,286","38,104",182,"14,539","10,348",948,804,"2,341",98,"13,917",4.3%,2.74
Portola Valley      ,"4,574","4,530",44,"1,902","1,540",0,38,324,0,"1,778",6.5%,2.55
Redwood City        ,"80,647","79,126","1,521","29,517","13,973","4,069","1,877","8,966",632,"28,477",3.5%,2.78
San Bruno           ,"43,763","43,365",398,"15,717","9,004",608,877,"5,228",0,"15,171",3.5%,2.86
San Carlos          ,"29,141","29,050",91,"12,023","8,315",528,559,"2,589",32,"11,455",4.7%,2.54
San Mateo           ,"100,168","98,852","1,316","40,060","18,287","3,977","2,485","15,255",56,"38,188",4.7%,2.59
South San Francisco ,"65,901","65,322",579,"21,933","13,064","2,798","1,336","4,404",331,"21,017",4.2%,3.11
Woodside            ,"5,496","5,496",0,"2,180","2,079",60,26,0,15,"1,991",8.7%,2.76
,,,,,,,,,,, ,
Balance Of County    ,"64,461","62,599","1,862","22,583","18,441",799,784,"1,934",625,"21,137",6.4%,2.96
Incorporated,"682,725","675,108","7,617","249,894","137,034","24,280","16,726","69,313","2,541","238,428",4.6%,2.83
 ,,,,,,,,,,, ,
County Total,"747,186","737,707","9,479","272,477","155,475","25,079","17,510","71,247","3,166","259,565",4.7%,2.84
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Santa Barbara County,,,,,,,,,,, ,
Buellton            ,"4,858","4,858",0,"1,856","1,243",89,13,114,397,"1,760",5.2%,2.76
Carpinteria         ,"13,178","13,159",19,"5,446","2,165",425,619,"1,389",848,"4,776",12.3%,2.76
Goleta,"30,041","29,840",201,"11,486","5,390",963,"1,048","3,464",621,"10,885",5.2%,2.74
Guadalupe           ,"7,170","7,170",0,"1,890","1,297",186,215,183,9,"1,820",3.7%,3.94
Lompoc              ,"43,293","39,596","3,697","14,491","7,845",762,"2,116","2,788",980,"13,543",6.5%,2.92
Santa Barbara       ,"91,137","89,510","1,627","38,321","18,029","3,407","5,533","10,962",390,"36,311",5.2%,2.47
Santa Maria         ,"101,907","100,900","1,007","28,471","17,839","1,355","2,515","5,214","1,548","27,362",3.9%,3.69
Solvang             ,"5,305","5,250",55,"2,504","1,431",154,254,529,136,"2,183",12.8%,2.41
,,,,,,,,,,, ,
Balance Of County    ,"137,131","124,962","12,169","49,705","35,198","2,973","2,594","5,941","2,999","45,713",8.0%,2.73
Incorporated,"296,889","290,283","6,606","104,465","55,239","7,341","12,313","24,643","4,929","98,640",5.6%,2.94
 ,,,,,,,,,,, ,
County Total,"434,020","415,245","18,775","154,170","90,437","10,314","14,907","30,584","7,928","144,353",6.4%,2.88
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Santa Clara County,,,,,,,,,,, ,
Campbell            ,"40,384","40,183",201,"17,031","7,682","2,251","2,018","4,764",316,"16,097",5.5%,2.50
Cupertino           ,"59,553","59,216",337,"21,041","12,056","2,561","2,002","4,422",0,"20,004",4.9%,2.96
Gilroy              ,"52,297","51,491",806,"15,358","10,451",887,"1,705","1,998",317,"14,749",4.0%,3.49
Los Altos           ,"29,994","29,767",227,"11,274","9,360",558,227,"1,129",0,"10,794",4.3%,2.76
Los Altos Hills     ,"8,261","8,208",53,"3,064","3,012",11,0,14,27,"2,863",6.6%,2.87
Los Gatos           ,"30,387","30,037",350,"13,135","7,633","1,776","1,220","2,442",64,"12,388",5.7%,2.43
Milpitas            ,"68,457","66,460","1,997","19,925","11,703","3,363","1,384","3,057",418,"19,300",3.1%,3.44
Monte Sereno        ,"3,424","3,424",0,"1,289","1,248",22,0,19,0,"1,204",6.6%,2.84
Morgan Hill         ,"40,655","40,269",386,"13,319","8,147","1,964",798,"1,182","1,228","12,844",3.6%,3.14
Mountain View       ,"76,802","76,537",265,"34,136","10,498","4,105","3,147","15,289","1,097","32,155",5.8%,2.38
Palo Alto           ,"67,461","66,878",583,"28,457","16,385","1,229","1,841","8,903",99,"26,936",5.3%,2.48
San Jose            ,"995,657","981,486","14,171","319,625","175,791","32,281","23,192","77,402","10,959","307,721",3.7%,3.19
Santa Clara         ,"122,087","118,891","3,196","45,662","19,190","4,344","4,959","17,123",46,"43,812",4.1%,2.71
Saratoga            ,"30,992","30,793",199,"11,169","9,402",760,355,652,0,"10,787",3.4%,2.86
Sunnyvale           ,"147,037","146,188",849,"56,898","21,620","5,038","4,962","21,378","3,900","54,384",4.4%,2.69
,,,,,,,,,,, ,
Balance Of County    ,"87,239","80,361","6,878","28,063","21,967","1,051","1,113","3,350",582,"26,368",6.0%,3.05
Incorporated,"1,773,448","1,749,828","23,620","611,383","324,178","61,150","47,810","159,774","18,471","586,038",4.1%,2.99
 ,,,,,,,,,,, ,
County Total,"1,860,687","1,830,189","30,498","639,446","346,145","62,201","48,923","163,124","19,053","612,406",4.2%,2.99
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Santa Cruz County,,,,,,,,,,, ,
Capitola            ,"10,216","10,068",148,"5,543","1,642",597,"1,393","1,118",793,"4,703",15.2%,2.14
Santa Cruz          ,"63,113","52,885","10,228","23,410","13,008","2,554","2,587","4,912",349,"21,875",6.6%,2.42
Scotts Valley       ,"11,846","11,574",272,"4,625","2,533",574,380,375,763,"4,469",3.4%,2.59
Watsonville         ,"52,544","52,016",528,"14,128","7,372","1,298","1,653","2,675","1,130","13,702",3.0%,3.80
,,,,,,,,,,, ,
Balance Of County    ,"132,109","130,262","1,847","57,137","41,615","4,394","3,578","3,647","3,903","50,318",11.9%,2.59
Incorporated,"137,719","126,543","11,176","47,706","24,555","5,023","6,013","9,080","3,035","44,749",6.2%,2.83
 ,,,,,,,,,,, ,
County Total,"269,828","256,805","13,023","104,843","66,170","9,417","9,591","12,727","6,938","95,067",9.3%,2.70
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Shasta County,,,,,,,,,,, ,
Anderson            ,"10,290","10,278",12,"4,349","2,592",215,548,780,214,"4,085",6.1%,2.52
Redding             ,"90,956","88,932","2,024","39,001","24,808","1,697","4,652","5,334","2,510","36,562",6.3%,2.43
Shasta Lake         ,"10,123","10,106",17,"4,178","3,175",115,157,164,567,"3,925",6.1%,2.58
,,,,,,,,,,, ,
Balance Of County    ,"67,798","67,199",599,"30,325","23,084",703,448,485,"5,605","26,530",12.5%,2.53
Incorporated,"111,369","109,316","2,053","47,528","30,575","2,027","5,357","6,278","3,291","44,572",6.2%,2.45
 ,,,,,,,,,,, ,
County Total,"179,167","176,515","2,652","77,853","53,659","2,730","5,805","6,763","8,896","71,102",8.7%,2.48
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sierra County,,,,,,,,,,, ,
Loyalton            ,767,736,31,369,347,3,0,0,19,294,20.3%,2.50
,,,,,,,,,,, ,
Balance Of County    ,"2,453","2,448",5,"1,964","1,757",21,33,73,80,"1,117",43.1%,2.19
Incorporated,767,736,31,369,347,3,0,0,19,294,20.3%,2.50
 ,,,,,,,,,,, ,
County Total,"3,220","3,184",36,"2,333","2,104",24,33,73,99,"1,411",39.5%,2.26
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Siskiyou County,,,,,,,,,,, ,
Dorris              ,934,934,0,414,320,2,16,0,76,365,11.8%,2.56
Dunsmuir            ,"1,628","1,628",0,"1,108",698,29,117,251,13,759,31.5%,2.15
Etna                ,737,731,6,360,287,0,9,13,51,326,9.4%,2.24
Fort Jones          ,713,713,0,347,242,11,34,2,58,309,11.0%,2.31
Montague            ,"1,424","1,406",18,633,407,6,58,63,99,574,9.3%,2.45
Mount Shasta        ,"3,387","3,351",36,"1,895","1,196",37,400,233,29,"1,675",11.6%,2.00
Tulelake            ,990,990,0,437,298,2,42,18,77,343,21.5%,2.89
Weed                ,"2,971","2,800",171,"1,274",928,71,107,131,37,"1,133",11.1%,2.47
Yreka               ,"7,755","7,620",135,"3,673","2,237",159,449,656,172,"3,380",8.0%,2.25
,,,,,,,,,,, ,
Balance Of County    ,"24,296","24,089",207,"13,912","10,100",254,292,363,"2,903","10,742",22.8%,2.24
Incorporated,"20,539","20,173",366,"10,141","6,613",317,"1,232","1,367",612,"8,864",12.6%,2.28
 ,,,,,,,,,,, ,
County Total,"44,835","44,262",573,"24,053","16,713",571,"1,524","1,730","3,515","19,606",18.5%,2.26
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Solano County,,,,,,,,,,, ,
Benicia             ,"27,242","27,216",26,"11,326","7,469",846,"1,162","1,611",238,"10,756",5.0%,2.53
Dixon               ,"18,535","18,534",1,"6,178","4,838",269,367,656,48,"5,900",4.5%,3.14
Fairfield           ,"109,325","106,784","2,541","37,819","26,300","2,419","2,015","6,086",999,"35,733",5.5%,2.99
Rio Vista           ,"7,633","7,630",3,"4,000","3,602",53,25,141,179,"3,573",10.7%,2.14
Suisun City         ,"28,541","28,497",44,"9,454","7,861",249,382,778,184,"9,031",4.5%,3.16
Vacaville           ,"92,972","86,288","6,684","33,286","23,911","1,103","2,257","4,879","1,136","31,705",4.7%,2.72
Vallejo             ,"117,069","115,125","1,944","44,584","29,938","1,342","4,853","7,093","1,358","40,757",8.6%,2.83
,,,,,,,,,,, ,
Balance Of County    ,"19,033","18,841",192,"7,464","6,494",315,156,56,443,"6,766",9.4%,2.79
Incorporated,"401,317","390,074","11,243","146,647","103,919","6,281","11,061","21,244","4,142","137,455",6.3%,2.84
 ,,,,,,,,,,, ,
County Total,"420,350","408,915","11,435","154,111","110,413","6,596","11,217","21,300","4,585","144,221",6.4%,2.84
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sonoma County,,,,,,,,,,, ,
Cloverdale          ,"8,800","8,712",88,"3,427","2,598",279,91,316,143,"3,218",6.1%,2.71
Cotati              ,"7,345","7,335",10,"3,144","1,443",574,446,556,125,"2,981",5.2%,2.46
Healdsburg          ,"11,623","11,568",55,"4,874","3,625",203,490,486,70,"4,477",8.1%,2.58
Petaluma            ,"59,241","58,517",724,"22,943","16,496","1,672","1,444","2,564",767,"22,013",4.1%,2.66
Rohnert Park        ,"41,328","41,285",43,"16,551","7,562","1,467","1,289","4,683","1,550","15,927",3.8%,2.59
Santa Rosa          ,"172,206","168,740","3,466","67,906","40,712","5,911","6,028","12,378","2,877","64,626",4.8%,2.61
Sebastopol          ,"7,517","7,388",129,"3,476","2,195",329,383,500,69,"3,305",4.9%,2.24
Sonoma              ,"10,764","10,527",237,"5,555","3,102",567,538,864,484,"4,960",10.7%,2.12
Windsor             ,"27,300","27,249",51,"9,610","7,565",561,165,684,635,"9,048",5.8%,3.01
,,,,,,,,,,, ,
Balance Of County    ,"147,330","141,387","5,943","68,379","55,797","2,823","2,620","2,458","4,681","56,852",16.9%,2.49
Incorporated,"346,124","341,321","4,803","137,486","85,298","11,563","10,874","23,031","6,720","130,555",5.0%,2.61
 ,,,,,,,,,,, ,
County Total,"493,454","482,708","10,746","205,865","141,095","14,386","13,494","25,489","11,401","187,407",9.0%,2.58
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Stanislaus County,,,,,,,,,,, ,
Ceres               ,"46,458","46,105",353,"13,717","10,389",716,671,"1,185",756,"12,811",6.6%,3.60
Hughson             ,"6,904","6,885",19,"2,310","1,959",15,42,233,61,"2,123",8.1%,3.24
Modesto             ,"206,369","203,408","2,961","75,601","52,680","3,236","7,846","9,709","2,130","69,969",7.4%,2.91
Newman              ,"10,611","10,545",66,"3,438","2,807",142,163,326,0,"3,078",10.5%,3.43
Oakdale             ,"21,392","21,205",187,"7,903","6,104",422,448,609,320,"7,442",5.8%,2.85
Patterson           ,"21,408","21,405",3,"6,356","5,620",178,156,269,133,"5,826",8.3%,3.67
Riverbank           ,"23,301","23,133",168,"7,098","6,084",250,160,308,296,"6,670",6.0%,3.47
Turlock             ,"70,889","69,619","1,270","24,680","17,060","1,563","1,649","3,783",625,"23,226",5.9%,3.00
Waterford           ,"8,662","8,639",23,"2,665","2,118",61,111,363,12,"2,484",6.8%,3.48
,,,,,,,,,,, ,
Balance Of County    ,"111,256","109,871","1,385","36,140","29,435",902,"1,134",430,"4,239","33,421",7.5%,3.29
Incorporated,"415,994","410,944","5,050","143,768","104,821","6,583","11,246","16,785","4,333","133,629",7.1%,3.08
 ,,,,,,,,,,, ,
County Total,"527,250","520,815","6,435","179,908","134,256","7,485","12,380","17,215","8,572","167,050",7.1%,3.12
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sutter County,,,,,,,,,,, ,
Live Oak            ,"8,279","8,163",116,"2,549","1,933",241,90,178,107,"2,381",6.6%,3.43
Yuba City           ,"66,001","65,375",626,"23,231","15,229",928,"1,917","4,239",918,"21,841",6.0%,2.99
,,,,,,,,,,, ,
Balance Of County    ,"21,436","21,376",60,"8,191","7,118",275,160,154,484,"7,542",7.9%,2.83
Incorporated,"74,280","73,538",742,"25,780","17,162","1,169","2,007","4,417","1,025","24,222",6.0%,3.04
 ,,,,,,,,,,, ,
County Total,"95,716","94,914",802,"33,971","24,280","1,444","2,167","4,571","1,509","31,764",6.5%,2.99
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Tehama County,,,,,,,,,,, ,
Corning             ,"7,650","7,625",25,"2,869","1,805",45,302,598,119,"2,635",8.2%,2.89
Red Bluff           ,"14,146","13,681",465,"5,931","3,614",113,814,921,469,"5,413",8.7%,2.53
Tehama              ,424,424,0,196,150,13,12,11,10,168,14.3%,2.52
,,,,,,,,,,, ,
Balance Of County    ,"41,416","41,033",383,"18,218","11,967",249,258,204,"5,540","15,692",13.9%,2.62
Incorporated,"22,220","21,730",490,"8,996","5,569",171,"1,128","1,530",598,"8,216",8.7%,2.64
 ,,,,,,,,,,, ,
County Total,"63,636","62,763",873,"27,214","17,536",420,"1,386","1,734","6,138","23,908",12.1%,2.63
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Trinity County,,,,,,,,,,, ,
County Total,"13,742","13,353",389,"8,705","5,778",117,347,269,"2,194","5,958",31.6%,2.24
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Tulare County,,,,,,,,,,, ,
Dinuba              ,"23,304","23,142",162,"6,231","4,563",135,620,616,297,"6,005",3.6%,3.85
Exeter              ,"10,619","10,546",73,"3,604","2,778",212,289,162,163,"3,429",4.9%,3.08
Farmersville        ,"11,018","11,018",0,"2,765","2,212",110,204,159,80,"2,667",3.5%,4.13
Lindsay             ,"12,566","12,470",96,"3,354","2,276",118,279,538,143,"3,180",5.2%,3.92
Porterville         ,"56,032","54,985","1,047","16,950","11,862",441,"1,931","1,645","1,071","16,025",5.5%,3.43
Tulare              ,"61,119","60,841",278,"19,212","15,038",424,"1,798","1,340",612,"18,048",6.1%,3.37
Visalia             ,"128,568","127,207","1,361","45,008","33,871","1,474","5,025","3,034","1,604","42,197",6.2%,3.02
Woodlake            ,"7,569","7,569",0,"2,147","1,432",153,139,365,58,"2,020",5.9%,3.75
,,,,,,,,,,, ,
Balance Of County    ,"145,241","143,302","1,939","44,720","34,632",822,"1,709","1,105","6,452","39,192",12.4%,3.66
Incorporated,"310,795","307,778","3,017","99,271","74,032","3,067","10,285","7,859","4,028","93,571",5.7%,3.29
 ,,,,,,,,,,, ,
County Total,"456,036","451,080","4,956","143,991","108,664","3,889","11,994","8,964","10,480","132,763",7.8%,3.40
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Tuolumne County,,,,,,,,,,, ,
Sonora              ,"4,844","4,560",284,"2,456","1,404",86,356,588,22,"2,168",11.7%,2.10
,,,,,,,,,,, ,
Balance Of County    ,"50,082","46,550","3,532","28,839","23,549",203,874,840,"3,373","20,023",30.6%,2.33
Incorporated,"4,844","4,560",284,"2,456","1,404",86,356,588,22,"2,168",11.7%,2.10
 ,,,,,,,,,,, ,
County Total,"54,926","51,110","3,816","31,295","24,953",289,"1,230","1,428","3,395","22,191",29.1%,2.30
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Ventura County,,,,,,,,,,, ,
Camarillo           ,"66,892","66,398",494,"25,987","15,766","4,514","1,020","3,667","1,020","24,722",4.9%,2.69
Fillmore            ,"15,319","15,153",166,"4,425","3,218",232,350,239,386,"4,173",5.7%,3.63
Moorpark            ,"35,228","35,228",0,"10,804","7,840","1,439",205,"1,177",143,"10,549",2.4%,3.34
Ojai                ,"7,617","7,437",180,"3,396","2,331",320,430,315,0,"3,124",8.0%,2.38
Oxnard              ,"203,169","201,735","1,434","53,151","30,280","5,631","3,717","10,908","2,615","50,272",5.4%,4.01
Port Hueneme        ,"22,353","21,492",861,"8,196","2,662","2,371",926,"2,228",9,"7,193",12.2%,2.99
San Buenaventura    ,"109,139","107,226","1,913","43,493","24,442","4,779","3,274","8,625","2,373","41,016",5.7%,2.61
Santa Paula         ,"30,568","30,435",133,"8,869","5,117",717,882,"1,313",840,"8,557",3.5%,3.56
Simi Valley         ,"126,843","126,183",660,"42,627","31,091","3,297","1,960","5,518",761,"41,398",2.9%,3.05
Thousand Oaks       ,"129,282","127,540","1,742","47,679","32,400","5,395","1,836","6,845","1,203","46,002",3.5%,2.77
,,,,,,,,,,, ,
Balance Of County    ,"96,810","93,370","3,440","34,948","28,004","2,271",960,"1,726","1,987","31,702",9.3%,2.95
Incorporated,"746,410","738,827","7,583","248,627","155,147","28,695","14,600","40,835","9,350","237,006",4.7%,3.12
 ,,,,,,,,,,, ,
County Total,"843,220","832,197","11,023","283,575","183,151","30,966","15,560","42,561","11,337","268,708",5.2%,3.10
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Yolo County,,,,,,,,,,, ,
Davis               ,"66,472","65,005","1,467","25,973","12,243","2,256","3,165","7,822",487,"25,099",3.4%,2.59
West Sacramento     ,"50,539","50,201",338,"18,979","11,926","1,015","1,257","3,274","1,507","17,816",6.1%,2.82
Winters             ,"6,930","6,924",6,"2,371","1,715",109,183,276,88,"2,255",4.9%,3.07
Woodland            ,"57,130","56,195",935,"19,964","12,622","1,135","1,673","3,997",537,"19,042",4.6%,2.95
,,,,,,,,,,, ,
Balance Of County    ,"26,653","18,895","7,758","7,302","5,834",201,275,84,908,"6,598",9.6%,2.86
Incorporated,"181,071","178,325","2,746","67,287","38,506","4,515","6,278","15,369","2,619","64,212",4.6%,2.78
 ,,,,,,,,,,, ,
County Total,"207,724","197,220","10,504","74,589","44,340","4,716","6,553","15,453","3,527","70,810",5.1%,2.79
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Yuba County,,,,,,,,,,, ,
Marysville          ,"12,330","11,647",683,"5,209","3,164",108,901,981,55,"4,725",9.3%,2.47
Wheatland           ,"3,553","3,553",0,"1,321",953,25,246,63,34,"1,242",6.0%,2.86
,,,,,,,,,,, ,
Balance Of County    ,"57,594","57,068",526,"21,220","15,210",410,"1,500","1,251","2,849","18,585",12.4%,3.07
Incorporated,"15,883","15,200",683,"6,530","4,117",133,"1,147","1,044",89,"5,967",8.6%,2.55
 ,,,,,,,,,,, ,
County Total,"73,477","72,268","1,209","27,750","19,327",543,"2,647","2,295","2,938","24,552",11.5%,2.94
,,,,,,,,,,, ,
,,,,,,,,,,, ,
California,,,,,,,,,,, ,
Incorporated Total,"31,897,152","31,234,144","663,008","11,342,808","6,190,758","873,232","1,007,231","2,944,914","326,673","10,601,433",6.5%,2.95
Balance Of State Total,"6,424,307","6,258,462","165,845","2,443,192","1,821,859","97,564","109,484","181,570","232,715","2,131,536",12.8%,2.94
 ,,,,,,,,,,, ,
State Total,"38,321,459","37,492,606","828,853","13,786,000","8,012,617","970,796","1,116,715","3,126,484","559,388","12,732,969",7.6%,2.94
