"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2014",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
Tracy               ,"85,404","85,088",316,"26,039","21,201",877,"1,592","1,902",467,"24,546",5.7%,3.47
,,,,,,,,,,, ,
Balance Of County    ,"146,110","140,506","5,604","49,044","40,569","1,328",950,982,"5,215","45,107",8.0%,3.12
Incorporated,"567,205","558,664","8,541","187,899","131,490","10,951","13,912","28,176","3,370","174,265",7.3%,3.21
 ,,,,,,,,,,, ,
County Total,"713,315","699,170","14,145","236,943","172,059","12,279","14,862","29,158","8,585","219,372",7.4%,3.19
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Luis Obispo County,,,,,,,,,,, ,
Arroyo Grande       ,"17,685","17,511",174,"7,687","5,241",639,362,850,595,"7,225",6.0%,2.42
Atascadero          ,"29,428","28,131","1,297","11,706","8,310",473,"1,063","1,330",530,"11,128",4.9%,2.53
El Paso De Robles   ,"30,855","30,586",269,"11,682","8,267",812,935,"1,374",294,"11,120",4.8%,2.75
Grover Beach        ,"13,486","13,297",189,"5,763","3,395",736,875,549,208,"5,211",9.6%,2.55
Morro Bay           ,"10,406","10,245",161,"6,365","4,567",359,446,507,486,"4,898",23.0%,2.09
Pismo Beach         ,"7,973","7,960",13,"5,637","3,246",618,516,497,760,"3,970",29.6%,2.01
San Luis Obispo     ,"45,950","44,768","1,182","20,779","9,613","1,381","2,656","5,647","1,482","19,443",6.4%,2.30
,,,,,,,,,,, ,
Balance Of County    ,"120,465","107,062","13,403","49,413","38,073","1,484","2,244","1,267","6,345","41,199",16.6%,2.60
Incorporated,"155,783","152,498","3,285","69,619","42,639","5,018","6,853","10,754","4,355","62,995",9.5%,2.42
 ,,,,,,,,,,, ,
County Total,"276,248","259,560","16,688","119,032","80,712","6,502","9,097","12,021","10,700","104,194",12.5%,2.49
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Mateo County,,,,,,,,,,, ,
Atherton            ,"6,971","6,586",385,"2,464","2,448",16,0,0,0,"2,265",8.1%,2.91
Belmont             ,"26,849","26,335",514,"11,042","6,415",650,333,"3,644",0,"10,602",4.0%,2.48
Brisbane            ,"4,470","4,454",16,"1,949","1,117",235,205,326,66,"1,834",5.9%,2.43
Burlingame          ,"30,003","29,554",449,"13,074","6,296",569,883,"5,313",13,"12,418",5.0%,2.38
Colma               ,"1,489","1,482",7,446,205,113,88,30,10,432,3.1%,3.43
Daly City           ,"106,703","106,022",681,"32,976","15,819","4,771","3,756","8,083",547,"31,640",4.1%,3.35
East Palo Alto      ,"29,786","29,632",154,"7,823","4,215",328,267,"2,865",148,"7,079",9.5%,4.19
Foster City         ,"32,508","32,399",109,"12,765","4,662","2,636",907,"4,560",0,"12,321",3.5%,2.63
Half Moon Bay       ,"11,773","11,755",18,"4,429","2,772",562,268,294,533,"4,159",6.1%,2.83
Hillsborough        ,"11,293","11,293",0,"3,961","3,859",90,12,0,0,"3,713",6.3%,3.04
Menlo Park          ,"33,098","32,312",786,"13,117","7,251","1,051","1,721","3,066",28,"12,333",6.0%,2.62
Millbrae            ,"22,664","22,349",315,"8,562","5,376",292,285,"2,576",33,"8,118",5.2%,2.75
Pacifica            ,"38,568","38,386",182,"14,542","10,351",948,804,"2,341",98,"13,948",4.1%,2.75
Portola Valley      ,"4,553","4,509",44,"1,899","1,537",0,38,324,0,"1,761",7.3%,2.56
Redwood City        ,"81,781","80,245","1,536","29,889","13,980","4,071","1,867","9,339",632,"28,732",3.9%,2.79
San Bruno           ,"43,861","43,463",398,"15,723","9,010",608,877,"5,228",0,"15,128",3.8%,2.87
San Carlos          ,"29,432","29,341",91,"12,036","8,317",537,561,"2,589",32,"11,511",4.4%,2.55
San Mateo           ,"101,010","99,694","1,316","40,130","18,300","4,034","2,485","15,255",56,"38,317",4.5%,2.60
South San Francisco ,"66,333","65,754",579,"21,935","13,066","2,798","1,336","4,404",331,"21,048",4.0%,3.12
Woodside            ,"5,540","5,540",0,"2,183","2,082",60,26,0,15,"1,997",8.5%,2.77
,,,,,,,,,,, ,
Balance Of County    ,"64,787","62,913","1,874","22,587","18,445",799,784,"1,934",625,"21,135",6.4%,2.98
Incorporated,"688,685","681,105","7,580","250,945","137,078","24,369","16,719","70,237","2,542","239,356",4.6%,2.85
 ,,,,,,,,,,, ,
County Total,"753,472","744,018","9,454","273,532","155,523","25,168","17,503","72,171","3,167","260,491",4.8%,2.86
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Santa Barbara County,,,,,,,,,,, ,
Buellton            ,"4,909","4,909",0,"1,856","1,243",89,13,114,397,"1,760",5.2%,2.79
Carpinteria         ,"13,570","13,551",19,"5,555","2,195",424,658,"1,430",848,"4,867",12.4%,2.78
Goleta,"30,536","30,335",201,"11,508","5,412",963,"1,048","3,464",621,"10,950",4.8%,2.77
Guadalupe           ,"7,232","7,232",0,"1,890","1,297",186,215,183,9,"1,816",3.9%,3.98
Lompoc              ,"43,858","40,095","3,763","14,594","7,888",762,"2,116","2,848",980,"13,570",7.0%,2.96
Santa Barbara       ,"91,766","90,139","1,627","38,393","18,040","3,407","5,550","11,006",390,"36,184",5.8%,2.49
Santa Maria         ,"102,676","101,669","1,007","28,525","17,875","1,355","2,517","5,230","1,548","27,282",4.4%,3.73
Solvang             ,"5,442","5,387",55,"2,522","1,449",154,254,529,136,"2,217",12.1%,2.43
,,,,,,,,,,, ,
Balance Of County    ,"139,015","126,565","12,450","49,890","35,337","2,979","2,613","5,941","3,020","45,829",8.1%,2.76
Incorporated,"299,989","293,317","6,672","104,843","55,399","7,340","12,371","24,804","4,929","98,646",5.9%,2.97
 ,,,,,,,,,,, ,
County Total,"439,004","419,882","19,122","154,733","90,736","10,319","14,984","30,745","7,949","144,475",6.6%,2.91
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Santa Clara County,,,,,,,,,,, ,
Campbell            ,"42,055","41,854",201,"17,604","8,108","2,251","2,018","4,911",316,"16,700",5.1%,2.51
Cupertino           ,"59,776","59,439",337,"21,037","12,051","2,562","2,002","4,422",0,"20,000",4.9%,2.97
Gilroy              ,"52,896","52,090",806,"15,533","10,626",887,"1,705","1,998",317,"14,861",4.3%,3.51
Los Altos           ,"30,131","29,904",227,"11,278","9,359",561,229,"1,129",0,"10,800",4.2%,2.77
Los Altos Hills     ,"8,378","8,325",53,"3,080","3,026",13,0,14,27,"2,892",6.1%,2.88
Los Gatos           ,"30,680","30,330",350,"13,185","7,690","1,776","1,217","2,438",64,"12,459",5.5%,2.43
Milpitas            ,"70,508","67,743","2,765","20,242","11,778","3,363","1,418","3,264",419,"19,594",3.2%,3.46
Monte Sereno        ,"3,493","3,493",0,"1,293","1,252",22,0,19,0,"1,223",5.4%,2.86
Morgan Hill         ,"41,596","41,210",386,"13,617","8,337","2,072",798,"1,182","1,228","13,092",3.9%,3.15
Mountain View       ,"77,126","76,856",270,"34,173","10,512","4,135","3,140","15,289","1,097","32,161",5.9%,2.39
Palo Alto           ,"67,594","67,099",495,"28,546","16,408","1,229","1,863","8,947",99,"26,917",5.7%,2.49
San Jose            ,"1,008,841","994,875","13,966","323,203","176,059","32,281","23,198","80,706","10,959","310,679",3.9%,3.20
Santa Clara         ,"122,475","119,279","3,196","45,770","19,249","4,345","4,959","17,171",46,"43,780",4.3%,2.73
Saratoga            ,"31,115","30,916",199,"11,172","9,398",767,355,652,0,"10,787",3.4%,2.87
Sunnyvale           ,"148,018","147,169",849,"56,998","21,660","5,096","4,964","21,378","3,900","54,531",4.3%,2.70
,,,,,,,,,,, ,
Balance Of County    ,"87,548","80,670","6,878","27,960","21,587","1,060","1,111","3,620",582,"26,365",5.7%,3.06
Incorporated,"1,794,682","1,770,582","24,100","616,731","325,513","61,360","47,866","163,520","18,472","590,476",4.3%,3.00
 ,,,,,,,,,,, ,
County Total,"1,882,230","1,851,252","30,978","644,691","347,100","62,420","48,977","167,140","19,054","616,841",4.3%,3.00
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Santa Cruz County,,,,,,,,,,, ,
Capitola            ,"10,180","10,032",148,"5,530","1,649",597,"1,393","1,118",773,"4,655",15.8%,2.16
Santa Cruz          ,"63,434","53,190","10,244","23,472","13,038","2,559","2,589","4,937",349,"21,855",6.9%,2.43
Scotts Valley       ,"11,972","11,700",272,"4,656","2,544",574,393,381,764,"4,488",3.6%,2.61
Watsonville         ,"52,647","52,119",528,"14,129","7,373","1,298","1,653","2,675","1,130","13,638",3.5%,3.82
,,,,,,,,,,, ,
Balance Of County    ,"133,342","131,491","1,851","57,260","41,646","4,403","3,616","3,692","3,903","50,456",11.9%,2.61
Incorporated,"138,233","127,041","11,192","47,787","24,604","5,028","6,028","9,111","3,016","44,636",6.6%,2.85
 ,,,,,,,,,,, ,
County Total,"271,575","258,532","13,043","105,047","66,250","9,431","9,644","12,803","6,919","95,092",9.5%,2.72
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Shasta County,,,,,,,,,,, ,
Anderson            ,"10,338","10,326",12,"4,379","2,622",215,548,780,214,"4,109",6.2%,2.51
Redding             ,"91,168","89,032","2,136","39,099","24,905","1,697","4,652","5,334","2,511","36,652",6.3%,2.43
Shasta Lake         ,"10,114","10,097",17,"4,180","3,177",115,157,164,567,"3,927",6.1%,2.57
,,,,,,,,,,, ,
Balance Of County    ,"67,633","67,028",605,"30,322","23,106",707,448,485,"5,576","26,499",12.6%,2.53
Incorporated,"111,620","109,455","2,165","47,658","30,704","2,027","5,357","6,278","3,292","44,688",6.2%,2.45
 ,,,,,,,,,,, ,
County Total,"179,253","176,483","2,770","77,980","53,810","2,734","5,805","6,763","8,868","71,187",8.7%,2.48
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sierra County,,,,,,,,,,, ,
Loyalton            ,761,730,31,370,348,3,0,0,19,301,18.6%,2.43
,,,,,,,,,,, ,
Balance Of County    ,"2,448","2,441",7,"1,966","1,759",21,33,73,80,"1,150",41.5%,2.12
Incorporated,761,730,31,370,348,3,0,0,19,301,18.6%,2.43
 ,,,,,,,,,,, ,
County Total,"3,209","3,171",38,"2,336","2,107",24,33,73,99,"1,451",37.9%,2.19
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Siskiyou County,,,,,,,,,,, ,
Dorris              ,913,913,0,414,320,2,16,0,76,359,13.3%,2.54
Dunsmuir            ,"1,610","1,610",0,"1,108",698,29,117,251,13,756,31.8%,2.13
Etna                ,729,723,6,360,286,0,9,13,52,325,9.7%,2.23
Fort Jones          ,701,701,0,347,242,11,34,2,58,306,11.8%,2.29
Montague            ,"1,427","1,409",18,633,406,6,58,63,100,580,8.4%,2.43
Mount Shasta        ,"3,339","3,303",36,"1,896","1,197",37,400,233,29,"1,663",12.3%,1.99
Tulelake            ,"1,002","1,002",0,438,299,2,42,18,77,350,20.1%,2.86
Weed                ,"2,923","2,759",164,"1,262",928,71,107,119,37,"1,125",10.9%,2.45
Yreka               ,"7,702","7,566",136,"3,673","2,237",159,449,656,172,"3,381",7.9%,2.24
,,,,,,,,,,, ,
Balance Of County    ,"24,473","24,262",211,"13,948","10,117",254,292,363,"2,922","10,900",21.9%,2.23
Incorporated,"20,346","19,986",360,"10,131","6,613",317,"1,232","1,355",614,"8,845",12.7%,2.26
 ,,,,,,,,,,, ,
County Total,"44,819","44,248",571,"24,079","16,730",571,"1,524","1,718","3,536","19,745",18.0%,2.24
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Solano County,,,,,,,,,,, ,
Benicia             ,"27,369","27,343",26,"11,327","7,470",846,"1,162","1,611",238,"10,730",5.3%,2.55
Dixon               ,"18,938","18,937",1,"6,297","4,838",269,414,728,48,"5,986",4.9%,3.16
Fairfield           ,"110,768","108,178","2,590","38,045","26,526","2,419","2,015","6,086",999,"35,945",5.5%,3.01
Rio Vista           ,"7,922","7,919",3,"4,132","3,734",53,25,141,179,"3,682",10.9%,2.15
Suisun City         ,"28,592","28,548",44,"9,459","7,866",249,382,778,184,"8,983",5.0%,3.18
Vacaville           ,"93,392","87,009","6,383","33,409","24,034","1,103","2,257","4,879","1,136","31,745",5.0%,2.74
Vallejo             ,"118,011","116,075","1,936","44,637","29,943","1,342","4,853","7,141","1,358","40,804",8.6%,2.85
,,,,,,,,,,, ,
Balance Of County    ,"19,153","18,947",206,"7,476","6,507",314,156,56,443,"6,756",9.6%,2.80
Incorporated,"404,992","394,009","10,983","147,306","104,411","6,281","11,108","21,364","4,142","137,875",6.4%,2.86
 ,,,,,,,,,,, ,
County Total,"424,145","412,956","11,189","154,782","110,918","6,595","11,264","21,420","4,585","144,631",6.6%,2.86
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sonoma County,,,,,,,,,,, ,
Cloverdale          ,"8,810","8,722",88,"3,427","2,598",279,91,316,143,"3,203",6.5%,2.72
Cotati              ,"7,391","7,381",10,"3,145","1,443",575,446,556,125,"2,982",5.2%,2.48
Healdsburg          ,"11,736","11,681",55,"4,904","3,653",205,490,486,70,"4,494",8.4%,2.60
Petaluma            ,"59,829","59,105",724,"23,097","16,557","1,699","1,444","2,630",767,"22,101",4.3%,2.67
Rohnert Park        ,"41,427","41,384",43,"16,551","7,562","1,467","1,289","4,683","1,550","15,870",4.1%,2.61
Santa Rosa          ,"173,232","169,714","3,518","68,169","40,874","5,911","6,028","12,481","2,875","64,609",5.2%,2.63
Sebastopol          ,"7,563","7,434",129,"3,485","2,203",330,383,500,69,"3,305",5.2%,2.25
Sonoma              ,"10,972","10,735",237,"5,610","3,108",573,541,904,484,"5,028",10.4%,2.14
Windsor             ,"27,440","27,389",51,"9,632","7,577",561,175,684,635,"9,040",6.1%,3.03
,,,,,,,,,,, ,
Balance Of County    ,"148,487","142,564","5,923","68,517","55,842","2,841","2,622","2,518","4,694","56,972",16.8%,2.50
Incorporated,"348,400","343,545","4,855","138,020","85,575","11,600","10,887","23,240","6,718","130,632",5.4%,2.63
 ,,,,,,,,,,, ,
County Total,"496,887","486,109","10,778","206,537","141,417","14,441","13,509","25,758","11,412","187,604",9.2%,2.59
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Stanislaus County,,,,,,,,,,, ,
Ceres               ,"46,737","46,384",353,"13,725","10,397",716,671,"1,185",756,"12,783",6.9%,3.63
Hughson             ,"7,182","7,163",19,"2,350","1,999",15,42,233,61,"2,191",6.8%,3.27
Modesto             ,"208,342","205,394","2,948","75,711","52,678","3,236","7,864","9,803","2,130","70,073",7.4%,2.93
Newman              ,"10,621","10,555",66,"3,437","2,806",142,163,326,0,"3,055",11.1%,3.46
Oakdale             ,"21,628","21,441",187,"7,961","6,160",422,450,609,320,"7,463",6.3%,2.87
Patterson           ,"21,608","21,605",3,"6,363","5,627",178,156,269,133,"5,832",8.3%,3.71
Riverbank           ,"23,424","23,256",168,"7,109","6,095",250,160,308,296,"6,651",6.4%,3.50
Turlock             ,"71,025","69,815","1,210","24,727","17,107","1,563","1,649","3,783",625,"23,100",6.6%,3.02
Waterford           ,"8,690","8,667",23,"2,665","2,118",61,111,363,12,"2,472",7.2%,3.51
,,,,,,,,,,, ,
Balance Of County    ,"111,577","110,229","1,348","36,117","29,419",902,"1,134",430,"4,232","33,255",7.9%,3.32
Incorporated,"419,257","414,280","4,977","144,048","104,987","6,583","11,266","16,879","4,333","133,620",7.2%,3.10
 ,,,,,,,,,,, ,
County Total,"530,834","524,509","6,325","180,165","134,406","7,485","12,400","17,309","8,565","166,875",7.4%,3.14
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sutter County,,,,,,,,,,, ,
Live Oak            ,"8,452","8,336",116,"2,605","1,933",241,132,192,107,"2,433",6.6%,3.43
Yuba City           ,"66,104","65,464",640,"23,280","15,278",928,"1,917","4,239",918,"21,887",6.0%,2.99
,,,,,,,,,,, ,
Balance Of County    ,"21,473","21,413",60,"8,195","7,118",275,160,154,488,"7,561",7.7%,2.83
Incorporated,"74,556","73,800",756,"25,885","17,211","1,169","2,049","4,431","1,025","24,320",6.0%,3.03
 ,,,,,,,,,,, ,
County Total,"96,029","95,213",816,"34,080","24,329","1,444","2,209","4,585","1,513","31,881",6.5%,2.99
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Tehama County,,,,,,,,,,, ,
Corning             ,"7,595","7,570",25,"2,868","1,804",45,302,598,119,"2,627",8.4%,2.88
Red Bluff           ,"14,153","13,722",431,"5,944","3,627",113,814,921,469,"5,453",8.3%,2.52
Tehama              ,413,413,0,196,150,13,12,11,10,165,15.8%,2.50
,,,,,,,,,,, ,
Balance Of County    ,"41,577","41,169",408,"18,291","11,988",280,258,204,"5,561","15,811",13.6%,2.60
Incorporated,"22,161","21,705",456,"9,008","5,581",171,"1,128","1,530",598,"8,245",8.5%,2.63
 ,,,,,,,,,,, ,
County Total,"63,738","62,874",864,"27,299","17,569",451,"1,386","1,734","6,159","24,056",11.9%,2.61
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Trinity County,,,,,,,,,,, ,
County Total,"13,733","13,328",405,"8,721","5,790",117,347,269,"2,198","6,062",30.5%,2.20
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Tulare County,,,,,,,,,,, ,
Dinuba              ,"23,745","23,583",162,"6,377","4,661",135,620,664,297,"6,108",4.2%,3.86
Exeter              ,"10,667","10,594",73,"3,614","2,788",212,289,162,163,"3,439",4.8%,3.08
Farmersville        ,"11,061","11,061",0,"2,771","2,218",110,204,159,80,"2,673",3.5%,4.14
Lindsay             ,"12,673","12,577",96,"3,381","2,303",118,279,538,143,"3,202",5.3%,3.93
Porterville         ,"56,223","55,216","1,007","16,992","11,904",441,"1,931","1,645","1,071","16,064",5.5%,3.44
Tulare              ,"61,769","61,491",278,"19,380","15,148",424,"1,844","1,352",612,"18,209",6.0%,3.38
Visalia             ,"129,603","128,233","1,370","45,316","34,175","1,474","5,029","3,034","1,604","42,462",6.3%,3.02
Woodlake            ,"7,656","7,656",0,"2,155","1,440",153,139,365,58,"2,039",5.4%,3.76
,,,,,,,,,,, ,
Balance Of County    ,"146,037","144,076","1,961","44,884","34,682",826,"1,711","1,169","6,496","39,335",12.4%,3.66
Incorporated,"313,397","310,411","2,986","99,986","74,637","3,067","10,335","7,919","4,028","94,196",5.8%,3.30
 ,,,,,,,,,,, ,
County Total,"459,434","454,487","4,947","144,870","109,319","3,893","12,046","9,088","10,524","133,531",7.8%,3.40
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Tuolumne County,,,,,,,,,,, ,
Sonora              ,"4,894","4,598",296,"2,460","1,408",86,356,588,22,"2,183",11.3%,2.11
,,,,,,,,,,, ,
Balance Of County    ,"50,176","46,656","3,520","28,887","23,579",204,874,840,"3,390","20,037",30.6%,2.33
Incorporated,"4,894","4,598",296,"2,460","1,408",86,356,588,22,"2,183",11.3%,2.11
 ,,,,,,,,,,, ,
County Total,"55,070","51,254","3,816","31,347","24,987",290,"1,230","1,428","3,412","22,220",29.1%,2.31
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Ventura County,,,,,,,,,,, ,
Camarillo           ,"67,109","66,607",502,"25,987","15,766","4,514","1,020","3,667","1,020","24,735",4.8%,2.69
Fillmore            ,"15,450","15,284",166,"4,452","3,245",232,350,239,386,"4,198",5.7%,3.64
Moorpark            ,"35,418","35,418",0,"10,835","7,871","1,439",205,"1,177",143,"10,578",2.4%,3.35
Ojai                ,"7,648","7,468",180,"3,401","2,336",320,430,315,0,"3,129",8.0%,2.39
Oxnard              ,"205,301","203,867","1,434","53,637","30,279","5,652","3,747","11,344","2,615","50,671",5.5%,4.02
Port Hueneme        ,"22,578","22,004",574,"8,264","2,685","2,371",946,"2,253",9,"7,372",10.8%,2.99
San Buenaventura    ,"109,662","107,712","1,950","43,541","24,476","4,779","3,288","8,625","2,373","41,094",5.6%,2.62
Santa Paula         ,"30,846","30,713",133,"8,973","5,219",716,885,"1,313",840,"8,613",4.0%,3.57
Simi Valley         ,"127,240","126,580",660,"42,677","31,111","3,327","1,960","5,518",761,"41,420",2.9%,3.06
Thousand Oaks       ,"130,005","128,263","1,742","47,788","32,419","5,395","1,848","6,923","1,203","46,142",3.4%,2.78
,,,,,,,,,,, ,
Balance Of County    ,"97,364","93,978","3,386","34,934","27,982","2,273",962,"1,726","1,991","31,840",8.9%,2.95
Incorporated,"751,257","743,916","7,341","249,555","155,407","28,745","14,679","41,374","9,350","237,952",4.6%,3.13
 ,,,,,,,,,,, ,
County Total,"848,621","837,894","10,727","284,489","183,389","31,018","15,641","43,100","11,341","269,792",5.2%,3.11
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Yolo County,,,,,,,,,,, ,
Davis               ,"66,574","65,107","1,467","26,031","12,288","2,269","3,165","7,822",487,"25,154",3.4%,2.59
West Sacramento     ,"50,851","50,513",338,"19,109","12,056","1,015","1,257","3,274","1,507","17,938",6.1%,2.82
Winters             ,"6,954","6,948",6,"2,371","1,715",109,183,276,88,"2,264",4.5%,3.07
Woodland            ,"57,749","56,814",935,"20,064","12,722","1,135","1,673","3,997",537,"19,264",4.0%,2.95
,,,,,,,,,,, ,
Balance Of County    ,"27,055","19,919","7,136","7,345","5,836",201,275,124,909,"6,960",5.2%,2.86
Incorporated,"182,128","179,382","2,746","67,575","38,781","4,528","6,278","15,369","2,619","64,620",4.4%,2.78
 ,,,,,,,,,,, ,
County Total,"209,183","199,301","9,882","74,920","44,617","4,729","6,553","15,493","3,528","71,580",4.5%,2.78
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Yuba County,,,,,,,,,,, ,
Marysville          ,"12,215","11,536",679,"5,211","3,164",110,901,981,55,"4,798",7.9%,2.40
Wheatland           ,"3,507","3,507",0,"1,320",952,25,246,63,34,"1,257",4.8%,2.79
,,,,,,,,,,, ,
Balance Of County    ,"58,146","57,620",526,"21,274","15,261",410,"1,500","1,251","2,852","19,239",9.6%,3.00
Incorporated,"15,722","15,043",679,"6,531","4,116",135,"1,147","1,044",89,"6,055",7.3%,2.48
 ,,,,,,,,,,, ,
County Total,"73,868","72,663","1,205","27,805","19,377",545,"2,647","2,295","2,941","25,294",9.0%,2.87
,,,,,,,,,,, ,
,,,,,,,,,,, ,
California,,,,,,,,,,, ,
Incorporated Total,"32,152,347","31,482,717","669,630","11,395,273","6,212,020","875,230","1,009,510","2,971,806","326,707","10,633,586",6.7%,2.96
Balance Of State Total,"6,469,954","6,300,476","169,478","2,450,236","1,826,245","97,829","109,779","183,093","233,290","2,136,939",12.8%,2.95
 ,,,,,,,,,,, ,
State Total,"38,622,301","37,783,193","839,108","13,845,509","8,038,265","973,059","1,119,289","3,154,899","559,997","12,770,525",7.8%,2.96
