county,city,pop change,housing change,units needed to get to 1990 ratio,pct of change
Contra Costa,Clayton,3967,1750,-469.9553095530955,-0.26854589117319744
Contra Costa,Concord,17062,3571,3126.2350774427723,0.8754508757890709
Contra Costa,Danville,12049,4705,-291.98543410208913,-0.062058540723079515
Contra Costa,El Cerrito,1731,484,296.4600550964187,0.6125207749926007
Contra Costa,Hercules,8846,3087,-116.08122883118403,-0.037603248730542285
Contra Costa,Lafayette,1833,662,65.20662501069933,0.09849943355090533
Contra Costa,Martinez,5848,2272,112.6088651367495,0.04956376106371017
Contra Costa,Moraga,689,83,162.09557765684616,1.9529587669499537
Contra Costa,Oakley,41199,12491,0,0.0
Contra Costa,Orinda,2293,543,349.15088330729475,0.6430034683375594
Contra Costa,Pinole,1515,665,-101.34364261168389,-0.15239645505516375
Contra Costa,Pittsburg,22211,5741,2060.1664461108667,0.35885149731943333
Contra Costa,Pleasant Hill,3074,680,648.7606623816612,0.95405979762009
Contra Costa,Richmond,25766,5733,4421.953347516246,0.7713157766468247
Contra Costa,San Pablo,5895,109,2097.5829954686383,19.243880692372827
Contra Costa,San Ramon,45247,14776,2566.354955669489,0.17368401161813
Contra Costa,Walnut Creek,10405,3637,1511.301028578976,0.41553506422297937
Contra Costa,Balance Of County,20613,5123,2833.6684397511135,0.5531267694224309
Contra Costa,Incorporated,315168,90903,33622.76554907042,0.36987520267835405
Contra Costa,County Total,335781,96026,36062.654887450044,0.3755509433637769
Del Norte,Crescent City,2009,119,696.9842465753425,5.857010475423046
Del Norte,Balance Of County,1655,2096,-1461.7568134171906,-0.6974030598364459
Del Norte,Incorporated,2009,119,696.9842465753425,5.857010475423046
Del Norte,County Total,3664,2215,-795.1609548167094,-0.35898914438677626
